,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
233,Not for the first time,"I always travel with Lufthansa, and till now very happy with the flight, time schedule, service and even with the price. Service is really excellent and the journey is comfortable too that's all i need.", Jul 2019,18-Aug,"Salzburg, Austria",Munich - Kolkata (Calcutta),Economy,51,4
234,Horrible and arrogant customer service and unreasonable policy,"I paid $50 for the extra leg room. However, I ended up not flying Lufthansa. They would not refund me. It's a total rip-off.  Customer service is horrible. Two service representatives I talked to were rude and arrogant. They were not helpful at all.   I will NEVER ever book/fly‚", Jul 2019,19-Jul,,Berlin - Boston,Economy,1,1
235,Worst then ever ,"Lufthansa level of services becomes worst and worst. Almost ten years flying with them, ever seen this disaster, pictures are talking by themselves. What had to beef involtini was an orribile, untouchable, uneatable piece of shoes, with dried pasta and glued spinach.‚", Jul 2019,19-Jul,Bergamo,Munich - Montreal,Business Class,23,1
236,Bad support,"Cancelled flight. Offerered flight next day Bad communication and no compensation. Don‚Äôt answer my claim at all. Rude Company ,avoid it,never again.", Jul 2019,19-May,,Bologna - Visby,Economy,3,1
237,Not even worth putting owna person,"Checking in at Frankfurt International, I was very astonished to find that the economy class passengers are not even worth putting a person there to help you check in. We needed to check in all by ourselves. This kind of "" service"" I would unterstand at Ryan Air or Kalula or‚", Jul 2019,NA,"Cape Town, South Africa",Frankfurt - Cape Town Central,Economy,24,3
238,Customer Service non-existent,"Our flight was 15 hours late, for which we were promised compensation, but never received any. Customer service won't answer my e-mails when I ask what is wrong. It's been one and a half months already. At the airport service was bad, on some counters they refused to tell us‚", Jul 2019,19-May,,Bucharest - Frankfurt,Economy,1,1
239,Flight to Sibiu,"Operating with Canadair regional jets, typical Lufthansa the plane looked and felt clean and bright, they manage to achieve this even with older aircraft.Headroom in the plane is very restrictive but once seated the noise levels were very comfortable. Service good but food a bit‚", Jul 2019,19-Jun,"Munich, Germany",Munich - Sibiu,Business Class,"1,135",4
240,Nightmare,"The return flight from London Heathrow airport to Dubai was a terrible nightmare on Lufthansa airline. The flight was delayed, the gate number changed I almost missed my connection flight to Dubai. There was no one on the flight from London to Frankfurt who can offer decent‚", Jul 2019,19-Jul,,London - Dubai,Economy,1,1
241,Bad experience,"I booked a flight for my fianc√© from an online travel agency travel2be from DELHI to Toronto via Munich and Zurich. While booking the flight, it didn‚Äôt mention anywhere that she will require a Schengen visa for this flight considering her two connections in Europe. Nevertheless,‚", Jul 2019,19-Jul,"New Delhi, India",New Delhi - Toronto,Economy,5,1
242,A delight to fly on Lufthansa,"I flew business class from Frankfurt (FRA) to Hong Kong (HKG) on an Airbus A340. It was a very enjoyable trip which started with enjoying great food in the Lufthansa lounge, followed by great friendly service and more good German food on the flight", Jul 2019,19-Jul,"Yekaterinburg, Russia",Frankfurt - Hong Kong,Business Class,"56,581",5
243,Premium Economy,The seat was comfortable.  The food and drink were free and very good.  I watched two movies that I enjoyed.  We arrived on time.  The crew was hospitable., Jul 2019,19-Jun,"Mystic, Connecticut",New York City - Frankfurt,Premium Economy,19,5
244,Lufthansa: New York to Frankfurt,"The flight departure was late and so it was the take off. The service during the flight was mediocre with absolutely no ice in the beverages! Obviously, they need some training on this. The seats were comfortable and air conditioning just fine. In any event, the flight was‚", Jul 2019,19-Jul,"Boston, Massachusetts",New York City - Frankfurt,Economy,54,3
245,Terrible Customer Service,"I was booted off a flight that was overbooked along with six other passengers. The staff were incredibly rude to the passengers who were not able to get a seat, claiming it was their fault for checking in too late. I booked this flight months in advance and arrived at the‚", Jul 2019,19-Jul,,Frankfurt - Boston,Economy,1,1
246,a very comfortable flight,This is an airline where you can honestly sit back and enjoy the flight!  The cabin is comfortable and the staff is very friendly.  We chatted with the flight attendant and she recommended her favorite restaurants in Krakow for us to try! She even pulled up photos on her phone‚, Jul 2019,19-Jun,"Boulder, Colorado",Dublin - Krakow,Business Class,29,5
247,Lufty Eats,"I was kind of frustrated as our plane had to wait on the tarmac for an hour before we could take off. The 14.5 hour flight was made tolerable with the blanket, pillow, in flight entertainment and delicious meals they offered. I had the beef with mashed potatoes for dinner. The‚", Jul 2019,NA,,Singapore - Frankfurt,Economy,810,4
248,Sub par business class,"We booked 3 business class tickets on Lufthansa from Philadelphia to naples, It via Frankfurt. The pros: excellent lounge in Philadelphia---use of American's Admirals Lounge. efficient priority baggage friendly customer services The cons: older 747, while seats are comfy, they‚", Jul 2019,19-Jul,"springfield, pa",Philadelphia - Naples,Premium Economy,92,2
249,Not even coffee or tea...???,"I just flew with LH from Valencia Spain to Frankfurt in business class.  No food was offered except a bar.  Even worse, I do not recall any major airline which does not offer either coffee or tea....and this was in business!", Jul 2019,19-Jul,"Orinda, California",Valencia - Frankfurt,Business Class,77,1
250,Let down by distracted cabin staff.,"Decided to treat ourselves at the end of our holiday by travelling Business class. It was very comfortable, however the service was terrible. The male steward was more interested in socialising with all the other people in business class except us. There was no more than 12‚", Jul 2019,19-Jun,"Canberra, Australia",Madrid - Frankfurt,Business Class,52,4
251,"Will avoid Lufthansa in the future, if check-in in Amsterdam is any indication of service.","Still in line to check-in after over an hour. Still the line is 30 people deep. This is Amsterdam, not some tiny airport in Africa (and I have been to many!). No explanation as to why. Everyone told me how great Lufthansa is...So disappointed.", Jul 2019,19-Jul,"Athens, Greece",Amsterdam - Kiev,Economy,33,1
252,Everything and more,"We had a wonderful time on the plane, even though the flight was delayed. Everything was super, from food to service to entertainment. The best thing was the seat, of course: it was the first time in Business for us and it was excellent. The seat actually twists and turns‚", Jul 2019,19-Jul,"Cles, Italy",Frankfurt - Orlando,Business Class,2,4
253,"Outward bound was awful, return flight better",Our outward flight started badly and got worse.  We were instructed to stand in lines per our seats at the gate.  Only to see at least 150 passengers board claiming to be first class (most weren‚Äôt and were sitting near us when we boarded).  No attempt at control whatever.  My tv‚, Jul 2019,19-Jun,"Boynton Beach, Florida",Miami - Frankfurt,Economy,179,3
254,Enjoyable Flight,"My husband and I flew Business Class between Frankfurt and Johannesburg on a 747. My only regret was that, when I made our reservation, no seats were left in the bubble, my favorite part of the aircraft, because of its isolation and roominess. But the main Business-Class cabin‚", Jul 2019,19-Jun,"Tucson, Arizona",Frankfurt - Johannesburg,Business Class,"9,581",5
255,Comfortable and pleasant!,"Staff was superb!  Drink & food options were spot on perfect.  I especially enjoyed the pink champagne and caviar.  The champagne dessert pictured here was light and refreshing.  Rest and relaxation on our return flight home - It was like riding on a cloud, floating on air...  ‚", Jul 2019,19-Jul,,Madrid - Newark,First Class,39,5
256,Lufthansa - real food in first class!!,"Excellent food and service - best airline food I have had in many, many years. Attentive flight crew and terminal personnel.", Jul 2019,18-Sep,,Munich - Newark,First Class,1,5
257,Flight attendants at ground are super rude,"When I arrived at the gate I was informed my flight was canceled. When I went to Lufthansa servicedesk the 50+ service employee didn‚Äôt look at me, didn‚Äôt apologize and sneered at me like a wicked schoolteacher. When I decided to talk to another employee same client service‚", Jul 2019,19-Jul,,Munich - Amsterdam,Economy,3,2
